method,peakForceN,maxPenetrationMm,contactImpulseNs,nominalRmseMm,referenceRmseMm,maxAdmittanceOffsetMm,forceReleaseDelayS,recoveryAfterReleaseS,peakJointSpeed,peakJointAcceleration,speedBoundActiveCount,positionBoundActiveCount,qpFailureCount,constraintViolationCount,minimumSigma
Rigid + QP,12.0145543506571,4.0044053131191,29.6184403683532,0.0035240719825312,0.0035240719825312,0,0.66,0,0.0253852804266987,0.0522907099649653,0,0,0,0,0.214656225025584
Admittance + QP,2.55027624599316,0.849854157184637,6.25269040619813,1.86970879852202,0.00427152852964555,3.157894650069,0.585,0.0549999999999997,0.0239785010672291,0.157873636371036,0,0,0,0,0.214857131110988
