method,maxErrorMm,rmseMm,finalErrorMm,peakRawSpeed,peakAppliedSpeed,peakAcceleration,velocityVariation,minimumSigma,saturationCount
pinv,2.16266542535187,1.05892068431417,2.04350180563377,26.8597321668411,0.23,46,96.0388986964422,8.45048935445298e-05,182
DLS,0.847702370710372,0.448288276370096,0.835171588757277,0.0711856108407725,0.0711856108407725,1.5878407690565,0.150003867276314,0.000215335552887657,0
