lambdaValues,maxErrorMm,rmseMm,finalErrorMm,maxOrientationDeg,peakRawSpeed,peakAppliedSpeed,peakAcceleration,velocityVariation,minimumSigma,saturationCount
0.005,0.835126075180536,0.421146867697157,0.835034993889548,0.00891074990550267,0.116323155167751,0.116323155167751,1.58965438413876,0.271399068830313,2.79269114584384e-08,0
0.01,0.847702370710372,0.448288276370096,0.835171588757277,0.0090828837246829,0.0711856108407725,0.0711856108407725,1.5878407690565,0.150003867276314,0.000215335552887657,0
0.02,1.09776150666306,0.649055838171803,0.919310267284431,0.0119244623371537,0.0462329905268258,0.0462329905268258,1.57574837536158,0.082258158841937,0.00460532981799449,0
0.03,1.46828028960369,0.945330367452875,1.16865633263176,0.0160933509105796,0.0363706647324138,0.0363706647324138,1.52080593525483,0.067505293649799,0.00912319968557753,0
0.05,2.24161437336826,1.54474201645085,1.8144979352507,0.0248981420729208,0.026130284744834,0.026130284744834,1.36502967050444,0.0563889877764713,0.0155348433682242,0
